window_size,nmi_finalized,nmi_inspection_finished_only,nmi_tool_condition,n_finalized_samples,n_inspection_samples,n_tool_samples,final_score,model_name,record_type,0
10.0,0.46784210079667693,0.35994801516350183,0.21143537493660292,18.0,14.0,14.0,0.3949819384980271,kmeans,all_result,
20.0,0.46784210079667693,0.35994801516350183,0.21143537493660292,18.0,14.0,14.0,0.3949819384980271,kmeans,all_result,
30.0,0.38165852628876973,0.53944260085964,0.2605037180693005,18.0,14.0,14.0,0.38898437955904996,kmeans,all_result,
10.0,0.17369669360118728,0.2020506339374706,0.06351959157273199,18.0,14.0,14.0,0.1573320612627529,gmm,all_result,
20.0,0.210868867676779,0.05871169293285745,0.13660742991190414,18.0,14.0,14.0,0.1655851451750197,gmm,all_result,
30.0,0.17670261227948195,0.20998249627124752,0.1690245086529958,18.0,14.0,14.0,0.18182296835253783,gmm,all_result,
10.0,0.7238747148076699,0.15983487842986963,0.008561931719345226,18.0,14.0,14.0,0.4680041909144449,som,all_result,
20.0,0.5462063603580982,0.2020506339374706,0.06351959157273199,18.0,14.0,14.0,0.38083786131689945,som,all_result,
30.0,0.6948182184224202,0.34332395374322017,0.042360699369791345,18.0,14.0,14.0,0.49402786167605445,som,all_result,
30.0,0.6948182184224202,0.34332395374322017,0.042360699369791345,18.0,14.0,14.0,0.49402786167605445,som,best_within_model,
10.0,0.46784210079667693,0.35994801516350183,0.21143537493660292,18.0,14.0,14.0,0.3949819384980271,kmeans,best_within_model,
30.0,0.17670261227948195,0.20998249627124752,0.1690245086529958,18.0,14.0,14.0,0.18182296835253783,gmm,best_within_model,
,,,,,,,,,,30
,,,,,,,,,,0.6948182184224202
,,,,,,,,,,0.34332395374322017
,,,,,,,,,,0.042360699369791345
,,,,,,,,,,18
,,,,,,,,,,14
,,,,,,,,,,14
,,,,,,,,,,0.49402786167605445
,,,,,,,,,,som
,,,,,,,,,,overall_best
