experiment_id,Layer 1 Down_cluster_0_ratio,Layer 1 Up_cluster_0_ratio,Layer 2 Down_cluster_0_ratio,Layer 2 Up_cluster_0_ratio,Layer 3 Down_cluster_0_ratio,Layer 3 Up_cluster_0_ratio,Layer 1 Down_cluster_1_ratio,Layer 1 Up_cluster_1_ratio,Layer 2 Down_cluster_1_ratio,Layer 2 Up_cluster_1_ratio,Layer 3 Down_cluster_1_ratio,Layer 3 Up_cluster_1_ratio,Layer 2 Up_cluster_2_ratio,Layer 3 Up_cluster_2_ratio,Layer 3 Up_cluster_3_ratio,Layer 3 Up_cluster_4_ratio,Layer 3 Up_cluster_5_ratio,Layer 3 Up_cluster_6_ratio,Layer 3 Up_cluster_7_ratio
experiment_01,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_02,0.5714285714285714,0.7333333333333333,0.08333333333333333,0.4,0.0,0.0,0.42857142857142855,0.26666666666666666,0.9166666666666666,0.4,1.0,0.4444444444444444,0.2,0.5555555555555556,0.0,0.0,0.0,0.0,0.0
experiment_03,0.8,0.09090909090909091,0.09090909090909091,1.0,0.0,0.2,0.2,0.9090909090909091,0.9090909090909091,0.0,1.0,0.65,0.0,0.15,0.0,0.0,0.0,0.0,0.0
experiment_04,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_05,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_06,0.8181818181818182,0.0,0.0,0.8333333333333334,0.125,0.45454545454545453,0.18181818181818182,1.0,1.0,0.16666666666666666,0.875,0.18181818181818182,0.0,0.09090909090909091,0.0,0.2727272727272727,0.0,0.0,0.0
experiment_07,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_08,0.5,1.0,0.6666666666666666,0.3125,1.0,0.0,0.5,0.0,0.3333333333333333,0.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25
experiment_09,0.0,0.8571428571428571,0.25,0.0,0.7142857142857143,0.0,1.0,0.14285714285714285,0.75,1.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
experiment_10,0.7777777777777778,0.5714285714285714,0.0,0.6842105263157895,0.0,0.0,0.2222222222222222,0.42857142857142855,1.0,0.3157894736842105,1.0,0.3333333333333333,0.0,0.5,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
experiment_11,1.0,0.038461538461538464,0.06666666666666667,0.9583333333333334,0.07142857142857142,0.6470588235294118,0.0,0.9615384615384616,0.9333333333333333,0.041666666666666664,0.9285714285714286,0.17647058823529413,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0
experiment_12,0.8260869565217391,0.0,0.09090909090909091,1.0,0.0,0.8095238095238095,0.17391304347826086,1.0,0.9090909090909091,0.0,1.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_13,0.8846153846153846,0.07407407407407407,0.0,1.0,0.0,0.7391304347826086,0.11538461538461539,0.9259259259259259,1.0,0.0,1.0,0.13043478260869565,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.043478260869565216
experiment_14,1.0,0.17647058823529413,0.10526315789473684,0.9259259259259259,0.04,0.8,0.0,0.8235294117647058,0.8947368421052632,0.07407407407407407,0.96,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_15,1.0,0.0,0.26666666666666666,0.8333333333333334,0.4,0.2727272727272727,0.0,1.0,0.7333333333333333,0.16666666666666666,0.6,0.5909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.13636363636363635
experiment_16,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_17,1.0,0.0,0.0,0.7916666666666666,0.0,0.5294117647058824,0.0,1.0,1.0,0.20833333333333334,1.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0
experiment_18,1.0,0.05555555555555555,0.05555555555555555,0.9655172413793104,0.09375,0.5161290322580645,0.0,0.9444444444444444,0.9444444444444444,0.034482758620689655,0.90625,0.3225806451612903,0.0,0.03225806451612903,0.06451612903225806,0.0,0.0,0.0,0.06451612903225806
