window_size,Machining_Process,best_som_x,best_som_y,best_num_neurons,num_windows
10,Layer 1 Down,2,1,2,461
10,Layer 1 Up,2,1,2,675
10,Layer 2 Down,2,1,2,448
10,Layer 2 Up,3,1,3,567
10,Layer 3 Down,2,1,2,424
10,Layer 3 Up,2,1,2,497
20,Layer 1 Down,2,1,2,218
20,Layer 1 Up,2,1,2,324
20,Layer 2 Down,2,1,2,213
20,Layer 2 Up,2,1,2,273
20,Layer 3 Down,2,1,2,201
20,Layer 3 Up,2,1,2,239
30,Layer 1 Down,2,1,2,138
30,Layer 1 Up,2,1,2,208
30,Layer 2 Down,2,1,2,135
30,Layer 2 Up,2,1,2,175
30,Layer 3 Down,2,1,2,127
30,Layer 3 Up,2,1,2,150
